Word,Definition
Ako,v.t. 1.Learn. E karakia ana nga tohunga ra e akona tonutia ana e Rata i konei ka mohio atu ia (T. 56).2.Teach instruct advise. Penei ka rongo mai koe ki taku ako atu ka ora koe (T. 25). Ka ako atu a Tinirau ki nga tangata o te kainga “E puta au i te ata kia kaha te karanga” (T. 38). Kihai raua i whakarongo ki te ako o tana kupu (W. iii 26). whakaakov.t. Teach. Na te atua ano ia i whakaako i mohio ai (T. 8). akongan. Learner disciple. akorangan. 1.Circumstance time place etc. of learning.2.Thing taught or learnt. akoakov.i. Consult together give or take counsel.'
Ako,akoakov.i. Split have a tendency to split. E kore tenei rakau e akoako.  Tai akoako a very low tide.'
Ako,v.i. Move stir. Kei ako au kei keukeu (M. 27). Ako hihiri ai e roto ki te mahi (M. 120).'
Akoro,n. The moon on the fifth day. see koro okoro'
Āku,pron. 1.plural of definitive pron. taku. My. Kia kite i aku tamariki (T. 16).   [For the difference between aku and oku (F.L. § 22).]2.pron. 1st pers. sing. -ku with prep. a prefixed.Belonging to me of mine. I whanau au i tetehi tamaiti aku (I brought forth a child of mine) (T. 16).'
Aku,akuaku1.v.i. Delay take time over anything.2.v.t. Scrape out cleanse. Akuakuna te umu. akuakua. Firm strong. Kahore ano kia akuaku nga iwi o tana tamaiti.'
Ākuanei,ad. of time following. Presently today. Akuanei u tonu mai (Presently they arrived) (T. 121). Akuanei koe whakarere ai i a au (S. 25). Me whai mai e to waka akuanei (T. 70).'
Ākuara,n. A little while. Used as an ad. with prep. i followed by euphonic n see inakuara aianei nonakuara'
Akunga,n. Rank and file. E waru rau tonu te kairakau o te ope ma te akunga ka toru mano ai (Pi. 149 11).'
Akura,n. Entrance to an eel-pot.'
Akutō,a. 1.Late lagging. He tau akuto (A year in which the crops are late).2.Slow. He ope akuto e kore e hohoro te ara see akito auto akutotangan. Delay. Ka poro ra hoki taku akutotanga (M. 174).'
Ama,n. 1.Outrigger on the windward side of a canoe. Hei roto koe hei te ama o to taua waka (T. 26) see tuama2.Thwart of a canoe.'
Ama,amon. The carved posts supporting the maihi of a whare.'
Amai,1.n. Swell on the sea. Kahore i tata mai te amai o te moana ki te wahapu o Manuka (W. v 69).2.The back part of the head of a Maori axe helve where bound round.3.a. Giddy dizzy. E amai ana tona matenga. āmaimaia. Nervous.'
Amaia,n. Halo.'
Amaru,n. Metrosideros scandens a climbing plant.'
Amaru,a. Of dignified aspect see maru'
Amatiatia,n. 1.Outrigger of a canoe.2.Canoe with an outrigger.'
Āmene,v.t. 1.Desire. Kei te amene te ngakau ki te kino.2.Gather collect. Amenea mai nga pungarehu see mene (i)'
Amengemenge,a. Curled crumpled. = koromengemenge'
Āmi,v.t. Gather collect. Kia amia he taua (W. v 103). Kia roa ai hoki he wa hei ami kai ma te manuwhiri (W. v 55).'
Ami,n. Odour. amiamin. A sweet-smelling shrub.'
Āmiki,amiku1.v.t. Gather up without omitting any make a clean sweep. Kua amikia katoatia nga kai see āmi2.Tell a story without omitting any particular. Kaua e amikitia te korero.3.Go round about.4.a. Prosy.'
Amiku, see amiki āmikumikuv.t. Make a circuit round.'
Amine, see amene mine'
Amio,1.v.i. Roam go round about circle round. Ko te rerenga o taua kawau ki runga amio ai (S.). Amioa amioa ko te rua o nga hokinga mai (M. 410). Tangi amio ana te karoro i tai ra (S. ii 77).2.v.t. assemble collect. Kaore koe e whakama mo te amio tangata ki konei. amiongaa. 1.Mischievous meddlesome.2.Procrastinating.  E tama he amionga to mahi. āmiomiov.i. 1.Turn round and round.2.Be giddy.'
Amo,1.v.t. Carry on the shoulder. E kite koe i te rakau roa turakina ka amo mai (T. 46).2.Carry on a litter.3.Rush upon charge. Amohia!4.n. Litter bier.5.Upright supports of the lower ends of the maihi on the front gable of a house.6.A ceremonial presentation of kumara to the tohunga connected with lifting the crop. Ka haere te amo a Hotukura ki te ariki ki a Uenuku (T. 107). He amo i te hau o te taua kia toa ai ki te riri see amohanga amonga amohangan. 1.Stage for storing food.2.Posts of awhata.3. = amoamohanga. Kumara etc. sent to the chief tohunga as part of ceremony of pure when the crop was gathered. Ka tikina te kai o ia mara o ia mara ka hui ki te mahi i aua kai ano ko te ingoa o tena he pure he amoamohanga mo nga kai i mahia i roto i te tau. amonga amorangan. The heart of one slain in battle or other sacred food for conciliating an atua. Ka raranga i to kete tuauriuri hai kete amonga mau. Ka haere a Tautuporangi ki te kawe i te amoranga ki a Te Wananga.'
Amoka,n. Podocarpus totara a South Island name for totara.'
Amokapua,n. Chief leader priest. = amorangi'
Amoko, Kiri amoko The outer bark of totara and manuka  see amoka'
Amokura,n. Phaethon rubricauda roseotincta red-tailed tropic-bird. Kia tia paruru te rau o te amokura (S. 8).'
Amoranga, see amo'
Amorangi,n. 1.Priest leader. = amokapua.2.Emblem of an atua carried by tohunga in van of army. Te amorangi ki mua te hapai o ki muri (P.) see iorangi3.n. Litter on which persons of high rank were carried.4.n. Horse formed by securing a horizontal pole to two posts used to raise heavy timbers.'
Amotai,n. 1.Swell on the sea.2.Name of a certain incantation or karakia.'
Amu,amuamuv.i. Grumble begrudge complain. Kei to noho noa iho ia ki te kainga me te whakarongo ki te amuamu a ana wahine (T. 20).Pass. amuamutia be grumbled at. Ka amuamutia e te tangata whenua (P. 106).   '
Āmua,n. The time to come. Hei amua or mo amua hereafter. Hei amua ahua ka haere ai see mua'
Āmuri,n. The time to come. Waiho mo amuri.'
Āmuri ake nei,hereafter see muri'
Āna,ae naint. Yes. In answer to a negative question it must be translated no see ae. “E kore ranei e tae mai ki konei?” “Ana e kore pea e tae mai” (“No probably he will not come”) . Kaore āna ra koe awhe mai ana ki te haukainga (M. xcvii).  Ana koia ana koa yes certainly.'
Āna,pron. 1.plural of definitive pron. tana. His her. Ka ui atu a Maui ki ana tuakana (T. 10). Ka tatau mai to ratou whaea i ana tama (T. 10).   [For the difference between ana and ona (F.L. § 22).]2.pron. 3rd pers. sing. -na with prep. a prefixed.Of him of her of his of hers. A ka mutu tenei mahi ana (Well this exploit of his was ended) (T. 25).'
Āna,ena def. pl. of tena. (Ngi.)'
Anā,1.ad. There. Ana kei Motutapu (T. 33). Anei tatou na ko te po: ana tatou na he ra ki tua (P.) see anei arā2.conj. When in future time only. Ko to te Maori ritenga tawhito tenei ana ka marenatia (T. 134).3.int. Calling immediate attention. Ana! me te poko! (T. 13). Ana koia e takoto kino nei te whenua (T. 23) see anana'
Ana,n. Cave. Te ana kowhatu o te wahine ra (T. 95).'
Ana,A particle denoting continuance of action or state used after verbs or adjectives. When the verb is followed by mai ana may either precede or follow mai. E kiia ana mai (M. 58) E kiia mai ana (M. 59).   When the verb is followed by any other adverb or by its object without the particle i ana will follow the adverb or object as the case may be. E mahi kai ana ma ratou (T. 78) E haere tapu tonu ana mai (T. 78) : Ko Maru e titiro iho ana (T. 137).1.When e precedes the adj. or verb ana denotes a temporary condition a continuing action or an action intended to be performed immediately. Kei runga kei te whare e iri ana tou teina e ngaua ana e te pawa ahi (T. 64). E whakarongo ana raua ki te putanga mai o te hau (T. 93). E pai ana tena (T. 195). E haere ana ahau ki Tauranga.2.Following a word preceded by kia ana denotes continuance of action or condition. He aha i waiho ai te manuhiri kia karanga ana (T. 168). Ko te here ka waiho kia tere ana (T. 147).3.Without e it is used in animated narration of a rapid succession of actions. Ae ana mai haere ana: noho ana ia tunu manu ana mana (T. 95).4.Placed after a noun it denotes the point to which anything reaches. “Ko Te Kahureremoa” atu ano i waho nei a roto atu ana (T. 144).'
Anahe,anakead. Only.'
Anaianei,ad. Henceforward see aianei'
Anake,ad. 1.Only none but nothing but. Ko te tai anake e aki ana (T. 93).2.Without exception. Ko enei pa e toru no Ngati Apa anake nga tangata.'
Anamata,ad. Hereafter see namata'
Anana,int. Expressing admiration etc. Anana! tutu ana te heihei (T. 5). Anana ta Tangaroa pai hoki ano kei te wai e tawheta ana (T. 22) see anā'
Ananga,n. The moon on the sixth day. = Tamatea-tu-tahi 2*'
Anao,"=anaoaint. Expressing satisfaction or assent. Certainly. Anao, e tama, he ahakoa i kiia ai (W.M. x, 203).'"
Ānau,"1.v.i. Ramble, wander. Na taku wairua i anau kau (M. 331) see nau2.a. Restless, lazy, bewildered.3.Curved, crooked. Piko anau, arch.4.n. Curve. Ka nui te anautanga o te whenua nei. Note: (Referring to sweep of horizon.)'"
Ānau,n. Rain. (Tahu.)'
Aneane,a. Sharp. Aneane tonu te mata o te rakau see areare'
Anea,"a. Devastated, swept by war. Anea kau ana te whenua.—Haere i a Tuku-noa, i a Heke-noa, e popo, e anea, mau ka oti atu. whakaanea (probably from a different root)v.i. Stoop. I whakaanea hoki, na reira i kitea ai te kohamo.'"
Ānehu,a. Misty. He rangi anehu.'
Ānei,enei pl. of tenei. (Ngi.) '
Anei,"ad. 1.Here. Anei tatou na ko te po: ana tatou na he ra ki tua (P.) see tenei2.In this case. Me i haere mai koe i te taenga atu o Paoa, anei kua ata whakatika taua korero.'"
Ānene,"hanenev.i. Breathe gently. I ata anene te haere mai o te hau ra; anenenene, a ka rahi haere.'"
Ānewa,"1.v. Reel, fall. Me he matakokiri anewa i te rangi see newa2.a. Weak, listless. Kahore he iwi i te ngaunga a te ra; anewa noa ai.  Anewa o te rangi, whirlwind. Whakataha ra koe i te anewa o te rangi.  ānewanewa1.a. Giddy. E haere anewanewa ana te potaka, ara e haere whakahingahinga ana. E taia ana au e te mate, kai te potaka tunewhanewha; ka taia, ka haere, ka anewanewa.2.v.i. Loaf, linger. I runga i te mangere e anewanewa noa ana kia kiia ai kei te mahi. whakaanewanewav.i. Act slowly and deliberately. “Whakanewanewa marire,” e ki ana a Patētē (P.).'"
Ani,"a. Resounding, echoing. anianiv.t. Disparage, belittle.'"
Ānina,"āninaninaa. Giddy, aching. Kua aninaninatia te mahunga ki enei tu korero (W.M. ix, 54) see ānini'"
Ānini,"1.a. Giddy, aching (of the head only). E anini ana toku upoko. Tere anini ana ki roto Mapere (M. 341).2.n. Sensation.3.Shimmering heat see arohi āninininia. Reeling.'"
Anipā,"a. Anxious, solicitous, Ka ngaro to tamaiti, kaore e kitea, kua anipa noa iho koe koi mate.'"
Aniroro,"a. Giddy, light-headed see rangiroro'"
Aniu,v.i. Feel shame. Kanui toku aniutanga i muri i a koe.'
Āniwa,"a. Reckless, aimless, bewildered. āniwaniwa1.n. Rainbow.2.Deep water. Tutu ana te aniwaniwa o te awa, o Whanganui.3.a. Black, like clouds in stormy weather, or like deep water. E whakaaniwaniwa mai ra te rangi.4.n. Halo, or ring, surrounding any of the heavenly bodies. aniwatangan. 1.Blackness of deep water.2.Disgust, distaste. He pono ano ra taku aniwatanga ki te kai a Tiki (M. 19).'"
Ano,"ad. 1.Up to the time spoken of, still, yet. Kei te hi ano ratou (T. 45). E tupu mai nei ano (T. 100). Kahore ano, not yet. Kaore ano a Tangotango i mohio ko Tawhaki tenei (T. 51).   2.Again. Maranga atu tohe mai ano (T. 100). Ka te apiti ano, ka whati mai ano (T. 101).3.Also, too. Ka tahuna te whare ki te ahi, me nga tangata ano i roto (T. 46).   Often in conjunction with hoki.4.Repeated with a noun, one … another. He tohi ano mo te tane, he tohi ano mo te wahine (There is one form of tohi ceremony for the male, another for the female).5.Quite, just, exactly. Ano ko taua tamaiti tupu ake (T. 130). He kata noa ano (T. 199). Ae; me koe na ano te ahua (T. 62).   Katahi ano. now for the first time. Katahi ano a Paoa ka kitea, ka mohiotia hoki (T. 190).6.With personal pronouns, self. Nau ano i kawe mai i a koe ? (T. 60).7.With possessive pronoun, own. Na ana tama ano ra (T. 199).8.With demonstratives, same. Ka whakatika mai o Taupo, tira, ko te ara e haere mai ai, ko taua huarahi ano (T. 149).9.Indeed, in affirmations and assertions. Kaore, kei taku ano (T. 25). E tika ana ano.—Kahore he waka mou ? He waka ano.10.Denoting admiration, and sometimes used interjectionally.Ano te kiri, me te anuhe tawatawa nga mahi a te kauri (T. 30) Ano me he pukepuke whenua (T. 150). Koia ano!How extraordinary! Koia ano i roa ai te nohoanga iho (T. 16).  11.As, as though, as it were. Ano ko Kopu ka puta ake i te pae nga karu o te maipi a te tangata ra. (T. 99). Ka karanga atu a Hinemoa … ano he reo tane (T. 133).12.And when. = a no'"
Anoano,"n. Alarm, giddiness.'"
Anohea,n. Listlessness see anuhea'
Ānu,"v.i. Spit, sputter.'"
Anu,"anuanun. Cold. Ka hauhau koe i te anu o waho (T. 66). Takoto mai ra i te anuanu, i te matao (M. 83). anuanua. 1.Offensive, disgusting. E pa, neke atu; anuanu tahi tou.2.Disgusted. Kei te anuanu au i te wairoro tapu o Tukorehu (M. 401). anuanutangan. Cold. Haere, e kui, i te anuanutanga o nga tau (M. 164).'"
Anuanu,"n. The umu in which food was cooked as part of the pure ceremony at kumara planting. I te ata ano ka ka te pure: te ingoa o taua pure, he anuanu.'"
Anuhē,a. Sickly. Ka nui tana ora kaore i te anuhē see Anuhea'
Anuhe,"n. 1.A large caterpillar, larva of Sphinx convolvuli; also larva of Hepialis virescens. E tupu atu kumara, e ohu e te anuhe (P.). = hotete, awheto, torongu2.Markings on the skin of mackerel. Ano te kiri, me te anuhe tawatawa nga mahi a te kauri (T. 30).'"
Anuhea,"a. 1.Weak, listless, pinched with cold. Kataina te hau makariri, te hau mataotao, te anuanu, te anuhea.2.Ugly. He anuhea tena, kei titiro atu see anohea'"
Anurangi,"n. A variety of kumara with a dark skin. Na Hoturoa i mau mai te kumara e kiia nei he anurangi (W. ii, 165). = anutai'"
Anutai,n. 1.A variety of kumara. = anurangi2.A species of cockle.'
Anutipoki,n. A variety of kumara.'
Ānga,n. Derivative from see ā (ii)'
Anga,"1.v.i. Face or move in a certain direction. Kei te anga te kuwaha ki te uru (T. 110). Me anga taua ki te ra huru (T. 112).2.Turn to, set about, doing anything, followed by ki or ka. Katahi ka anga ki te tui i a ratou ika. Ka anga ano ka pei atu i a ia (T. 68).3.n. Aspect. He anga ora tenei, e kore e roa ka tupu te kai.4.Hard outer covering, shell, husk. Te anga karaka, te anga koura, koi kitea ki te marae (Po.).5.Skeleton. Ka angoa nga kiko, ko te anga anake tenei e tu nei.6.Stone of fruit.7.Portions of harakeke, etc., thrown aside in dressing.8.Vessel. = oko angangan. Aspect. He anganga ra (A sunny aspect).'"
whakaanga,"1.v.t. Cause to face in a certain direction.2.n. Canoe with figurehead facing backwards. angaangan. 1.Head. Ka taha te patu tona angaanga (T. 91).  Te papa o te angaanga, the skull.  Kiri angaanga, scalp. Horea, e Waha, to kiri angaanga (M. 347).   Kai angaanga, curse. = kai upokoHei kai angaanga mo Te Keteiwi (M. 348). 2.fig. Elder, chief. He nui muringa hei ki mai i tona angaanga (P. 22). Ka kite koe i ta te angaanga riri (P. 37). whakaangaanga1.v.i. Debate with oneself. Te wahi i whakaangaanga ra tatou hei reira tatou.2.v.t. Calm. Ka puta ake taua maia ki runga, whakaangaanga ai i te rangi, whakamarie ai (T. 72).'"
Angai,"n. North-north-west wind, on the west coast.'"
Angamate,"angangamaten. 1.Back, reverse side. Piri ana i tua o te angangamate o te kapu o te ringa (T. 145). No wai tenei ara, te angamate o te kainga?2.Back of a house. = tuarongo'"
Anganui,"v.i. Face directly towards, be right opposite. Kia anganui mai to korero (Speak directly to me) see anga'"
Angarite,"n. Amphidesma australe, a bivalve mollusc. = kokota'"
Angengi,n. A fish.'
Āngi,"n. 1.Light air.2.Fragrant smell. whakaāngiv.t. 1.Fly, as a kite. Ko tana mahi he whakaangi manu (T. 57).2.Approach stealthily, stalk. Whakaangia tonutia mai i muri na kua mau.'"
Angi,"1.a. Free, without hindrance. Ka karakia a Rata i tona waka kia angi ai tona haere.2.v.i. Move freely, float. Ko Tahurangi anake te angi i waho. —Tenei rawa to rongo te angi mai nei (M. 293).3.n. Something connected with the descent to the subterranean spirit world. Katahi ka huakina te tatau o te angi nuku ki te po ki Rarohenga. whakaangi1.v.i. Float, move easily. Rere te ika, whakaangi te ika.2.Fall through the air, so hurl oneself. Katahi ia ka whakaangi i taua toka nei ki te whakamoti i a ia (P. 133, 11).3.a. Denoting step relationship, so  papa whakaangi, stepfather; but  tamaiti whakaangi is used also for nephew or niece. angiangi1.a. Thin, and fine of texture. Hirautia ra o kahu angiangi (M. 197).2.Unencumbered. E whakaaro ana kia iti te kai, kia angiangi ai te poho o te tangata mo te turanga i te aroarokapa o te haka (T. 166).3.n. Coprosma repens, a shrub. Raupitia ra ki te rau angiangi (M. 406). = taupata4.Usnea barbata, a soft white lichen, used as a wrapper or absorbent.5.Light, gentle breeze. Angiangi hauraro, māta hehengi mai (N.M. ii, 190).'"
Angina,"E haere koutou ki uta, kei mau ki Taiki-tu, ka puhia, he angina (T. 82). Ka angina tatou i nga kai nei. '"
